Data Date (UTC),City ID Number,City Name,Country,Latitude,Longitude,Temperature (F),Humidity,Cloudiness,Wind Speed (MPH)
1557551338,1214724,Langsa,ID,4.47,97.97,85.67,62,100,4.76
1557550805,2152659,Port Macquarie,AU,-31.43,152.91,69.39,37,40,17.22
1557551339,1803936,Wuwei,CN,37.93,102.64,70.01,19,1,13.29
1557551340,986717,Kruisfontein,ZA,-34.0,24.73,58.85,56,0,3.71
1557550895,3430443,Necochea,AR,-38.55,-58.74,57.99,83,99,5.99
1557551122,5606187,Saint Anthony,US,43.97,-111.68,48.81,37,1,3.33
1557551341,3939168,Huarmey,PE,-10.07,-78.15,66.41,92,29,17.92
1557547200,1852003,Shiojiri,JP,36.12,137.95,77.0,20,40,11.41
1557551341,1337619,Ugoofaaru,MV,5.67,73.0,85.85,67,37,6.26
1557551253,2765961,Schladming,AT,47.39,13.69,43.99,76,40,11.41
1557551342,694273,Shchors,UA,51.82,31.95,54.71,83,100,4.81
1557550200,638936,Rovaniemi,FI,66.5,25.72,39.2,100,90,4.7
1557551343,2737599,Saldanha,PT,41.42,-6.55,46.79,92,22,3.0
1557551046,934479,Grand Gaube,MU,-20.01,57.66,77.4,53,75,11.41
1557547200,1045114,Inhambane,MZ,-23.87,35.38,68.0,94,75,4.63
1557551344,4011743,Constitucion,MX,23.99,-104.67,48.95,52,0,8.05
1557551344,1724435,Siocon,PH,11.03,124.04,94.49,51,54,2.98
1557551169,3027763,Cestas,FR,44.74,-0.68,54.01,93,75,9.17
1557551345,286987,Nizwa,OM,22.93,57.53,87.29,24,0,6.55
1557551346,2456917,Goundam,ML,16.42,-3.66,85.13,9,0,11.41
1557551150,3128382,Palomares,ES,40.39,-5.74,43.97,93,0,4.7
1557551346,145531,Saurimo,AO,-9.66,20.4,66.41,57,99,6.98
1557550883,3523663,Mama,MX,20.48,-89.36,83.28,58,5,16.11
1557551347,3453150,Ponta Pora,BR,-22.54,-55.73,76.85,66,65,7.49
1557551347,3386467,Terra Santa,BR,-2.1,-56.49,74.69,97,100,1.9
1557551348,3419842,Sisimiut,GL,66.94,-53.67,31.85,89,23,2.15
1557551348,3390700,Regeneracao,BR,-6.24,-42.69,73.97,86,100,2.44
1557550904,2156927,Moree,AU,-29.46,149.84,59.85,48,75,13.87
1557551348,485351,Syamzha,RU,60.02,41.06,72.71,50,9,12.5
1557550818,3133895,Tromso,NO,69.65,18.96,44.71,65,0,14.99
1557551349,3440777,Rocha,UY,-34.48,-54.34,54.53,85,0,10.38
1557551350,2094027,Kieta,PG,-6.22,155.63,88.55,51,95,1.12
1557550940,5949493,Espanola,CA,46.27,-81.77,34.0,86,54,4.03
1557551113,2176088,San Remo,AU,-33.21,151.52,68.72,37,75,17.22
1557551350,1485634,Yuzhnouralsk,RU,54.44,61.27,75.59,39,87,2.93
1557549000,1253888,Ullal,IN,12.8,74.85,89.6,62,40,10.29
1557550859,2980080,Saint-Francois,FR,46.42,3.91,55.17,76,93,5.82
1557551352,2392837,Malanville,NE,11.86,3.39,89.09,45,91,8.41
1557551352,1253958,Udgir,IN,18.39,77.12,90.17,22,82,11.01
1557551070,3664525,Codajas,BR,-3.84,-62.06,75.59,98,100,2.3
1557551352,946877,Uitenhage,ZA,-33.77,25.4,65.51,57,0,4.65
1557551353,916095,Kabwe,ZM,-14.44,28.44,64.79,76,75,10.49
1557551320,5771960,Brigham City,US,41.51,-112.02,48.29,37,1,3.36
1557547200,362973,Abnub,EG,27.27,31.15,62.6,51,0,11.41
1557551354,6050416,La Tuque,CA,47.44,-72.79,36.35,93,78,7.72
1557551354,712587,Novikovo,UA,45.05,34.56,54.71,77,95,5.23
1557551284,2991771,Guerande,FR,48.47,-4.17,45.91,93,75,4.7
